dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.159000,2.522220,0.000049,0.004919,0.245973,12.298652,0.000000
0.020000,2.159000,2.522220,0.000049,0.000000,-0.245973,-24.597305,0.000000
0.020000,2.159000,2.522220,0.000049,0.000000,0.000000,12.298652,0.000000
0.020000,2.159511,2.522220,0.000560,0.025532,1.276596,63.829786,0.000000
0.020000,2.160741,2.522220,0.001790,0.061493,1.798067,26.073583,0.000000
0.020000,2.162512,2.522220,0.003561,0.088550,1.352852,-22.260781,0.000000
0.020000,2.164922,2.522220,0.005971,0.120527,1.598825,12.298652,0.000000
0.020000,2.168071,2.522220,0.009120,0.157423,1.844798,12.298652,0.000000
0.020000,2.172055,2.522220,0.013104,0.199238,2.090771,12.298652,0.000000
0.020000,2.176975,2.522220,0.018024,0.245973,2.336744,12.298652,0.000000
0.020000,2.182927,2.522220,0.023976,0.297627,2.582717,12.298652,0.000000
0.020000,2.190011,2.522220,0.031060,0.354201,2.828690,12.298652,0.000000
0.020000,2.198325,2.522220,0.039374,0.415694,3.074663,12.298652,0.000000
0.020000,2.207967,2.522220,0.049017,0.482107,3.320636,12.298652,0.000000
0.020000,2.219036,2.522220,0.060085,0.553439,3.566609,12.298652,0.000000
0.020000,2.231630,2.522220,0.072679,0.629691,3.812582,12.298652,0.000000
0.020000,2.245847,2.522220,0.086896,0.710862,4.058555,12.298652,0.000000
0.020000,2.261786,2.522220,0.102835,0.796953,4.304528,12.298652,0.000000
0.020000,2.279545,2.522220,0.120595,0.887963,4.550501,12.298652,0.000000
0.020000,2.299223,2.522220,0.140273,0.983892,4.796474,12.298652,0.000000
0.020000,2.320869,2.522220,0.161918,1.082281,4.919461,6.149326,0.000000
0.020000,2.344482,2.522220,0.185532,1.180671,4.919461,0.000000,0.000000
0.020000,2.370064,2.522220,0.211113,1.279060,4.919461,0.000000,0.000000
0.020000,2.397563,2.522220,0.238613,1.374989,4.796474,-6.149326,0.000000
0.020000,2.426883,2.522220,0.267933,1.465999,4.550501,-12.298652,0.000000
0.020000,2.457925,2.522220,0.298974,1.552090,4.304528,-12.298652,0.000000
0.020000,2.490590,2.522220,0.331640,1.633261,4.058555,-12.298652,0.000000
0.020000,2.524781,2.522220,0.365830,1.709513,3.812582,-12.298652,0.000000
0.020000,2.560398,2.522220,0.401447,1.780845,3.566609,-12.298652,0.000000
0.020000,2.597343,2.522220,0.438392,1.847258,3.320636,-12.298652,0.000000
0.020000,2.635518,2.522220,0.476567,1.908751,3.074663,-12.298652,0.000000
0.020000,2.674824,2.522220,0.515873,1.965325,2.828690,-12.298652,0.000000
0.020000,2.715164,2.522220,0.556213,2.016979,2.582717,-12.298652,0.000000
0.020000,2.756438,2.522220,0.597487,2.063714,2.336744,-12.298652,0.000000
0.020000,2.798549,2.522220,0.639598,2.105529,2.090771,-12.298652,0.000000
0.020000,2.841397,2.522220,0.682446,2.142425,1.844798,-12.298652,0.000000
0.020000,2.884885,2.522220,0.725934,2.174402,1.598825,-12.298652,0.000000
0.020000,2.928914,2.522220,0.769964,2.201459,1.352852,-12.298652,0.000000
0.020000,2.973386,2.522220,0.814435,2.223596,1.106879,-12.298652,0.000000
0.020000,3.018203,2.522220,0.859252,2.240814,0.860906,-12.298652,0.000000
0.020000,3.063265,2.522220,0.904314,2.253113,0.614933,-12.298652,0.000000
0.020000,3.108475,2.522220,0.949524,2.260492,0.368960,-12.298652,0.000000
0.020000,3.159596,2.521750,1.000648,2.556184,14.784596,720.781843,6.256590
0.020000,3.218809,2.518841,1.059932,2.964224,20.402011,280.870741,6.211498
0.020000,3.278006,2.513230,1.119394,2.973086,0.443088,-997.946164,6.165835
0.020000,3.336931,2.504911,1.178904,2.975494,0.120396,-16.134599,6.120017
0.020000,3.395327,2.493924,1.238324,2.971032,-0.223104,-17.174976,6.074487
0.020000,3.452946,2.480363,1.297517,2.959638,-0.569708,-17.330235,6.029690
0.020000,3.509560,2.464365,1.356349,2.941584,-0.902714,-16.650285,5.986054
0.020000,3.564979,2.446105,1.414699,2.917490,-1.204681,-15.098331,5.943968
0.020000,3.619051,2.425786,1.472461,2.888138,-1.467617,-13.146817,5.903770
0.020000,3.671665,2.403629,1.529551,2.854505,-1.681646,-10.701464,5.865735
0.020000,3.722759,2.379859,1.585903,2.817594,-1.845532,-8.194293,5.830074
0.020000,3.772305,2.354700,1.641471,2.778375,-1.960956,-5.771213,5.796936
0.020000,3.820311,2.328368,1.696225,2.737719,-2.032795,-3.591941,5.766412
0.020000,3.866816,2.301064,1.750152,2.696368,-2.067562,-1.738360,5.738547
0.020000,3.911876,2.272975,1.803251,2.654910,-2.072898,-0.266787,5.713349
0.020000,3.955565,2.244270,1.855526,2.613784,-2.056305,0.829665,5.690794
0.020000,3.997968,2.215102,1.906992,2.573285,-2.024929,1.568801,5.670844
0.020000,4.039172,2.185609,1.957664,2.533608,-1.983847,2.054081,5.653445
0.020000,4.079272,2.155916,2.007561,2.494823,-1.939262,2.229238,5.638539
0.020000,4.118359,2.126136,2.056700,2.456944,-1.893959,2.265185,5.626069
0.020000,4.156523,2.096373,2.105098,2.419902,-1.852104,2.092717,5.615980
0.020000,4.193852,2.066722,2.152770,2.383603,-1.814936,1.858400,5.608224
0.020000,4.230428,2.037273,2.199728,2.347903,-1.784977,1.497979,5.602764
0.020000,4.266329,2.008110,2.245981,2.312642,-1.763059,1.095866,5.599570
0.020000,4.301627,1.979315,2.291533,2.277645,-1.749844,0.660763,5.598625
0.020000,4.336389,1.950969,2.336388,2.242726,-1.745983,0.193054,5.599925
0.020000,4.370675,1.923147,2.380542,2.207697,-1.751440,-0.272859,5.603477
0.020000,4.404541,1.895929,2.423989,2.172375,-1.766105,-0.733238,5.609299
0.020000,4.438034,1.869393,2.466721,2.136583,-1.789581,-1.173800,5.617421
0.020000,4.471197,1.843615,2.508724,2.100166,-1.820837,-1.562822,5.627884
0.020000,4.504066,1.818675,2.549984,2.062990,-1.858849,-1.900556,5.640736
