dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.159000,1.899920,0.000049,0.004919,0.245973,12.298652,0.000000
0.020000,2.159000,1.899920,0.000049,0.000000,-0.245973,-24.597305,0.000000
0.020000,2.159000,1.899920,0.000049,0.000000,0.000000,12.298652,0.000000
0.020000,2.159511,1.899920,0.000560,0.025532,1.276596,63.829786,0.000000
0.020000,2.160741,1.899920,0.001790,0.061493,1.798067,26.073583,0.000000
0.020000,2.162512,1.899920,0.003561,0.088550,1.352852,-22.260781,0.000000
0.020000,2.164922,1.899920,0.005971,0.120527,1.598825,12.298652,0.000000
0.020000,2.168071,1.899920,0.009120,0.157423,1.844798,12.298652,0.000000
0.020000,2.172055,1.899920,0.013104,0.199238,2.090771,12.298652,0.000000
0.020000,2.176975,1.899920,0.018024,0.245973,2.336744,12.298652,0.000000
0.020000,2.182927,1.899920,0.023976,0.297627,2.582717,12.298652,0.000000
0.020000,2.190011,1.899920,0.031060,0.354201,2.828690,12.298652,0.000000
0.020000,2.198325,1.899920,0.039374,0.415694,3.074663,12.298652,0.000000
0.020000,2.207967,1.899920,0.049017,0.482107,3.320636,12.298652,0.000000
0.020000,2.219036,1.899920,0.060085,0.553439,3.566609,12.298652,0.000000
0.020000,2.231630,1.899920,0.072679,0.629691,3.812582,12.298652,0.000000
0.020000,2.245847,1.899920,0.086896,0.710862,4.058555,12.298652,0.000000
0.020000,2.261786,1.899920,0.102835,0.796953,4.304528,12.298652,0.000000
0.020000,2.279545,1.899920,0.120595,0.887963,4.550501,12.298652,0.000000
0.020000,2.299223,1.899920,0.140273,0.983892,4.796474,12.298652,0.000000
0.020000,2.320869,1.899920,0.161918,1.082281,4.919461,6.149326,0.000000
0.020000,2.344482,1.899920,0.185532,1.180671,4.919461,0.000000,0.000000
0.020000,2.370064,1.899920,0.211113,1.279060,4.919461,0.000000,0.000000
0.020000,2.397563,1.899920,0.238613,1.374989,4.796474,-6.149326,0.000000
0.020000,2.426883,1.899920,0.267933,1.465999,4.550501,-12.298652,0.000000
0.020000,2.457925,1.899920,0.298974,1.552090,4.304528,-12.298652,0.000000
0.020000,2.490590,1.899920,0.331640,1.633261,4.058555,-12.298652,0.000000
0.020000,2.524781,1.899920,0.365830,1.709513,3.812582,-12.298652,0.000000
0.020000,2.560398,1.899920,0.401447,1.780845,3.566609,-12.298652,0.000000
