dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.317500,0.000197,0.019676,0.983781,49.189049,0.000000
0.020000,0.000000,0.317500,0.000197,0.000000,-0.983781,-98.378098,0.000000
0.020000,0.000000,0.317500,0.000197,0.000000,0.000000,49.189049,0.000000
0.020000,0.002658,0.317500,0.002855,0.132896,6.644824,332.241210,0.000000
0.020000,0.006790,0.317500,0.006987,0.206594,3.684876,-147.997406,0.000000
0.020000,0.012102,0.317500,0.012299,0.265621,2.951343,-36.676657,0.000000
0.020000,0.018595,0.317500,0.018792,0.324648,2.951343,0.000000,0.000000
0.020000,0.026269,0.317500,0.026465,0.383675,2.951343,-0.000000,0.000000
0.020000,0.035123,0.317500,0.035319,0.442701,2.951343,0.000000,0.000000
0.020000,0.045157,0.317500,0.045354,0.501728,2.951343,0.000000,0.000000
0.020000,0.056372,0.317500,0.056569,0.560755,2.951343,-0.000000,0.000000
0.020000,0.068768,0.317500,0.068965,0.619782,2.951343,0.000000,0.000000
0.020000,0.082344,0.317500,0.082541,0.678809,2.951343,-0.000000,0.000000
0.020000,0.097101,0.317500,0.097298,0.737836,2.951343,0.000000,0.000000
0.020000,0.113038,0.317500,0.113235,0.796863,2.951343,-0.000000,0.000000
0.020000,0.130156,0.317500,0.130353,0.855889,2.951343,0.000000,0.000000
0.020000,0.148454,0.317500,0.148651,0.914916,2.951343,-0.000000,0.000000
0.020000,0.167933,0.317500,0.168130,0.973943,2.951343,-0.000000,0.000000
0.020000,0.188593,0.317500,0.188789,1.032970,2.951343,0.000000,0.000000
0.020000,0.210432,0.317500,0.210629,1.091997,2.951343,-0.000000,0.000000
0.020000,0.233453,0.317500,0.233650,1.151024,2.951343,0.000000,0.000000
0.020000,0.257654,0.317500,0.257851,1.210051,2.951343,0.000000,0.000000
0.020000,0.283036,0.317500,0.283232,1.269077,2.951343,-0.000000,0.000000
0.020000,0.309598,0.317500,0.309794,1.328104,2.951343,0.000000,0.000000
0.020000,0.337340,0.317500,0.337537,1.387131,2.951343,0.000000,0.000000
0.020000,0.366263,0.317500,0.366460,1.446158,2.951343,-0.000000,0.000000
0.020000,0.396367,0.317500,0.396564,1.505185,2.951343,0.000000,0.000000
0.020000,0.427651,0.317500,0.427848,1.564212,2.951343,-0.000000,0.000000
0.020000,0.460116,0.317500,0.460313,1.623239,2.951343,-0.000000,0.000000
0.020000,0.493761,0.317500,0.493958,1.682265,2.951343,0.000000,0.000000
0.020000,0.528587,0.317500,0.528784,1.741292,2.951343,0.000000,0.000000
0.020000,0.564594,0.317500,0.564790,1.800319,2.951343,-0.000000,0.000000
0.020000,0.601781,0.317500,0.601977,1.859346,2.951343,0.000000,0.000000
0.020000,0.640148,0.317500,0.640345,1.918373,2.951343,-0.000000,0.000000
0.020000,0.679696,0.317500,0.679893,1.977400,2.951343,0.000000,0.000000
0.020000,0.720425,0.317500,0.720621,2.036427,2.951343,-0.000000,0.000000
0.020000,0.762334,0.317500,0.762530,2.095453,2.951343,0.000000,0.000000
0.020000,0.805423,0.317500,0.805620,2.154480,2.951343,-0.000000,0.000000
0.020000,0.849693,0.317500,0.849890,2.213507,2.951343,0.000000,0.000000
0.020000,0.895144,0.317500,0.895341,2.272534,2.951343,-0.000000,0.000000
0.020000,0.941775,0.317500,0.941972,2.331561,2.951343,0.000000,0.000000
0.020000,0.989587,0.317500,0.989784,2.390588,2.951343,-0.000000,0.000000
0.020000,1.038579,0.317500,1.038776,2.449615,2.951343,0.000000,0.000000
0.020000,1.088752,0.317500,1.088949,2.508641,2.951343,-0.000000,0.000000
0.020000,1.140105,0.317500,1.140302,2.567668,2.951343,0.000000,0.000000
0.020000,1.192639,0.317500,1.192836,2.626695,2.951343,-0.000000,0.000000
0.020000,1.246354,0.317500,1.246551,2.685722,2.951343,-0.000000,0.000000
0.020000,1.301249,0.317500,1.301446,2.744749,2.951343,0.000000,0.000000
0.020000,1.357324,0.317500,1.357521,2.803776,2.951343,-0.000000,0.000000
0.020000,1.414580,0.317500,1.414777,2.862803,2.951343,0.000000,0.000000
0.020000,1.472820,0.317500,1.473017,2.911992,2.459452,-24.594524,0.000000
0.020000,1.531589,0.317500,1.531786,2.938447,1.322766,-56.834322,0.000000
0.020000,1.590236,0.317500,1.590433,2.932331,-0.305811,-81.428847,0.000000
0.020000,1.648170,0.317500,1.648367,2.896701,-1.781482,-73.783573,0.000000
0.020000,1.705059,0.317500,1.705256,2.844454,-2.612358,-41.543776,0.000000
0.020000,1.760767,0.317500,1.760964,2.785427,-2.951343,-16.949251,0.000000
0.020000,1.815295,0.317500,1.815492,2.726400,-2.951343,0.000000,0.000000
0.020000,1.868643,0.317500,1.868840,2.667373,-2.951343,-0.000000,0.000000
0.020000,1.920810,0.317500,1.921007,2.608347,-2.951343,0.000000,0.000000
0.020000,1.971796,0.317500,1.971993,2.549320,-2.951343,0.000000,0.000000
0.020000,2.021602,0.317500,2.021799,2.490293,-2.951343,-0.000000,0.000000
0.020000,2.070227,0.317500,2.070424,2.431266,-2.951343,0.000000,0.000000
0.020000,2.117672,0.317500,2.117869,2.372239,-2.951343,-0.000000,0.000000
0.020000,2.163936,0.317500,2.164133,2.313212,-2.951343,-0.000000,0.000000
0.020000,2.209020,0.317500,2.209217,2.254185,-2.951343,0.000000,0.000000
0.020000,2.252923,0.317500,2.253120,2.195159,-2.951343,0.000000,0.000000
0.020000,2.295646,0.317500,2.295843,2.136132,-2.951343,0.000000,0.000000
0.020000,2.337188,0.317500,2.337385,2.077105,-2.951343,-0.000000,0.000000
0.020000,2.377550,0.317500,2.377746,2.018078,-2.951343,0.000000,0.000000
0.020000,2.416731,0.317500,2.416927,1.959051,-2.951343,0.000000,0.000000
0.020000,2.454731,0.317500,2.454928,1.900024,-2.951343,-0.000000,0.000000
0.020000,2.491551,0.317500,2.491748,1.840997,-2.951343,0.000000,0.000000
0.020000,2.527190,0.317500,2.527387,1.781971,-2.951343,0.000000,0.000000
0.020000,2.561649,0.317500,2.561846,1.722944,-2.951343,-0.000000,0.000000
0.020000,2.594928,0.317500,2.595124,1.663917,-2.951343,0.000000,0.000000
